Title,Category,Rating,Year,Length,Type,Age,Genre,URL
HBO First Look,"['thanks', 'self']",6.2/10,1992–,13m,TV Series,,"['Documentary', 'Short']",https://www.imdb.com/title/tt0318220/?ref_=nm_flmg_tk_22
Sicko,['thanks'],8.0/10,2007,2h 3m,Movie,Btl,"['Documentary', 'Drama']",https://www.imdb.com/title/tt0386032/?ref_=nm_flmg_tk_23
Charlie and the Chocolate Factory,['thanks'],6.2/10,2005,,Video Game,E,"['Action', 'Adventure']",https://www.imdb.com/title/tt0472063/?ref_=nm_flmg_tk_25
DOA: A Coroner's Fairy Tale,['thanks'],6.9/10,2001,6m,Movie,Unrated,"['Short', 'Fantasy', 'Horror']",https://www.imdb.com/title/tt0427117/?ref_=nm_flmg_tk_26
"The Bat, the Cat, and the Penguin","['thanks', 'self']",6.7/10,1992,22m,TV Movie,,['Documentary'],https://www.imdb.com/title/tt0486272/?ref_=nm_flmg_tk_27
Hollywood Insider,['self'],8.1/10,2018–,,TV Series,,[],https://www.imdb.com/title/tt8638066/?ref_=nm_flmg_slf_2
Johnny Depp: King of Cult,['self'],9.0/10,2021,,Movie,,"['Documentary', 'Biography']",https://www.imdb.com/title/tt14587212/?ref_=nm_flmg_slf_3
Joker: Put on A Happy Face,['self'],6.9/10,2020,35m,Movie,,"['Documentary', 'Short', 'History']",https://www.imdb.com/title/tt12920708/?ref_=nm_flmg_slf_4
Hollywood's Stories,['self'],2.8/10,2019–2020,26m,TV Series,,['Documentary'],https://www.imdb.com/title/tt11427372/?ref_=nm_flmg_slf_5
CBS This Morning: Saturday,['self'],6.3/10,2012–,2h,TV Series,,[],https://www.imdb.com/title/tt2344864/?ref_=nm_flmg_slf_6
Ok! TV,['self'],2.3/10,2013–,30m,TV Series,,"['News', 'Talk-Show']",https://www.imdb.com/title/tt3503424/?ref_=nm_flmg_slf_7
The Movies,['self'],7.8/10,2019,2h,TV Mini Series,Not Rated,['Documentary'],https://www.imdb.com/title/tt10468676/?ref_=nm_flmg_slf_8
Días de cine,['self'],6.8/10,1991–,1h,TV Series,,[],https://www.imdb.com/title/tt0390699/?ref_=nm_flmg_slf_9
