Title,Category,Rating,Year,Length,Type,Age,Genre,URL
Seven Stages to Achieve Eternal Bliss by Passing Through the Gateway Chosen by the Holy Storsh,['actor'],5.6/10,2018,1h 38m,Movie,Unrated,"['Comedy', 'Horror', 'Thriller']",https://www.imdb.com/title/tt4270452/
Rick and Morty: Virtual Rick-ality,['actor'],7.4/10,2017,,Video Game,M,"['Animation', 'Comedy']",https://www.imdb.com/title/tt11222250/
Animals,['actor'],7.2/10,2016–2018,30m,TV Series,TV-MA,"['Animation', 'Comedy']",https://www.imdb.com/title/tt4953128/
Dr. Ken,['actor'],5.6/10,2015–2017,21m,TV Series,TV-PG,['Comedy'],https://www.imdb.com/title/tt3216608/
Knight of Cups,"['actor', 'thanks']",5.6/10,2015,1h 58m,Movie,7,"['Drama', 'Fantasy', 'Romance']",https://www.imdb.com/title/tt2101383/
Monster Machine,['actor'],7.0/10,2013,,Video,,"['Short', 'Comedy', 'Horror']",https://www.imdb.com/title/tt3284110/
Axe Cop,['actor'],7.3/10,2012–2015,15m,TV Series,TV-MA,"['Animation', 'Action', 'Comedy']",https://www.imdb.com/title/tt2497834/
Arrested Development,['actor'],8.7/10,2003–2019,22m,TV Series,15,['Comedy'],https://www.imdb.com/title/tt0367279/
Mary Shelley's Frankenhole,['actor'],7.1/10,2010–2017,15m,TV Series,TV-MA,"['Animation', 'Comedy', 'Horror']",https://www.imdb.com/title/tt1535715/
Our Footloose Remake,['actor'],6.7/10,2011,1h 38m,Movie,,"['Comedy', 'Drama', 'Music']",https://www.imdb.com/title/tt3091166/
Funny People,['actor'],6.3/10,2009,2h 26m,Movie,7,"['Comedy', 'Drama']",https://www.imdb.com/title/tt1201167/
Barry Hump: HR Superstar,['actor'],,2009,,Movie,,"['Short', 'Comedy']",https://www.imdb.com/title/tt2261291/
In the Motherhood,['actor'],5.4/10,2009,30m,TV Series,TV-PG,['Comedy'],https://www.imdb.com/title/tt1374983/
