Title,Category,Rating,Year,Length,Type,Age,Genre,URL
10 Items or Less,['actor'],6.5/10,2006,1h 22m,Movie,R,['Comedy'],https://www.imdb.com/title/tt0499603/?ref_=nm_flmg_act_58
Accepted,['actor'],6.4/10,2006,1h 33m,Movie,11,['Comedy'],https://www.imdb.com/title/tt0384793/?ref_=nm_flmg_act_59
Click,['actor'],6.4/10,2006,1h 47m,Movie,7,"['Comedy', 'Drama', 'Fantasy']",https://www.imdb.com/title/tt0389860/?ref_=nm_flmg_act_60
Campus Ladies,['actor'],8.2/10,2006–2007,30m,TV Series,,[],https://www.imdb.com/title/tt0487812/?ref_=nm_flmg_act_61
Grandma's Boy,['actor'],6.9/10,2006,1h 34m,Movie,R,[],https://www.imdb.com/title/tt0456554/?ref_=nm_flmg_act_62
Pancho's Pizza,['actor'],4.8/10,2005,20m,Movie,,['Short'],https://www.imdb.com/title/tt0827751/?ref_=nm_flmg_act_63
The 40 Year Old Virgin,['actor'],7.1/10,2005,1h 56m,Movie,Btl,['Comedy'],https://www.imdb.com/title/tt0405422/?ref_=nm_flmg_act_64
På spaning i New York,['actor'],7.7/10,1993–2005,45m,TV Series,TV-14,"['Crime', 'Drama', 'Mystery']",https://www.imdb.com/title/tt0106079/?ref_=nm_flmg_act_65
I Heart Huckabees,['actor'],6.6/10,2004,1h 47m,Movie,R,[],https://www.imdb.com/title/tt0356721/?ref_=nm_flmg_act_66
Ride Around Shining,['producer'],,,,Movie,,[],https://www.imdb.com/title/tt18394842/?ref_=nm_flmg_prd_1
Stutz,"['producer', 'director', 'director', 'self']",,,,Movie,R,[],https://www.imdb.com/title/tt21819228/?ref_=nm_flmg_prd_3
Beastie Boys Story,['producer'],7.7/10,2020,1h 59m,Movie,TV-MA,"['Documentary', 'Biography', 'Music']",https://www.imdb.com/title/tt11615290/?ref_=nm_flmg_prd_4
Richard Jewell,['producer'],7.5/10,2019,2h 11m,Movie,11,"['Biography', 'Crime', 'Drama']",https://www.imdb.com/title/tt3513548/?ref_=nm_flmg_prd_5
Mid90s,"['producer', 'writer', 'director']",7.3/10,2018,1h 25m,Movie,11,"['Comedy', 'Drama']",https://www.imdb.com/title/tt5613484/?ref_=nm_flmg_prd_7
Why Him?,"['producer', 'writer']",6.2/10,2016,1h 51m,Movie,7,['Comedy'],https://www.imdb.com/title/tt4501244/?ref_=nm_flmg_prd_8
Freaks of Nature,['producer'],5.9/10,2015,1h 32m,Movie,R,"['Comedy', 'Horror']",https://www.imdb.com/title/tt1817771/?ref_=nm_flmg_prd_10
Brüno,['producer'],5.9/10,2009,1h 21m,Movie,11,['Comedy'],https://www.imdb.com/title/tt0889583/?ref_=nm_flmg_prd_15
Sara Bareilles: Gonna Get Over You,"['writer', 'director']",6.6/10,2011,5m,Music Video,,['Music'],https://www.imdb.com/title/tt7985340/?ref_=nm_flmg_wr_8
Saturday Night Live,"['writer', 'soundtrack', 'self', 'archive footage']",8.0/10,1975–,1h 30m,TV Series,TV-14,"['Comedy', 'Music']",https://www.imdb.com/title/tt0072562/?ref_=nm_flmg_wr_9
Winning Time: The Rise of the Lakers Dynasty,['director'],8.3/10,2022–,59m,TV Series,16+,"['Biography', 'Drama', 'Sport']",https://www.imdb.com/title/tt10244600/?ref_=nm_flmg_dr_3
Un-filtered,['director'],,2019–,,TV Series,,['Documentary'],https://www.imdb.com/title/tt11045466/?ref_=nm_flmg_dr_4
Travis Scott: Wake Up,['director'],7.0/10,2019,3m,Music Video,,[],https://www.imdb.com/title/tt10720258/?ref_=nm_flmg_dr_5
Danny Brown: Ain't It Funny,['director'],7.9/10,2017,4m,Music Video,,['Music'],https://www.imdb.com/title/tt8676808/?ref_=nm_flmg_dr_7
Music,['thanks'],3.2/10,2021,1h 47m,Movie,15,['Drama'],https://www.imdb.com/title/tt7541720/?ref_=nm_flmg_tk_1
The Story of a Blacklisted Bootlegger,['thanks'],,2018–,,TV Series,,[],https://www.imdb.com/title/tt9500918/?ref_=nm_flmg_tk_2
Mardi Gras: Spring Break,['thanks'],9.5/10,2016,3m,Movie,,"['Short', 'Comedy', 'Music']",https://www.imdb.com/title/tt6044572/?ref_=nm_flmg_tk_3
Brazzaville Teen-Ager,['thanks'],6.3/10,2013,20m,Movie,TV-MA,"['Short', 'Comedy']",https://www.imdb.com/title/tt2928426/?ref_=nm_flmg_tk_4
Billy Beane: Re-Inventing the Game,['thanks'],6.1/10,2012,16m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt4693370/?ref_=nm_flmg_tk_5
Beastie Boys: Fight for Your Right Revisited,['thanks'],7.9/10,2011,30m,Movie,Not Rated,"['Short', 'Comedy']",https://www.imdb.com/title/tt1791504/?ref_=nm_flmg_tk_6
Albert Brooks: Defending My Life,['self'],,2023,,Movie,,['Documentary'],https://www.imdb.com/title/tt20274588/?ref_=nm_flmg_slf_1
Today,['self'],4.5/10,1952–,4h,TV Series,TV-G,"['News', 'Talk-Show']",https://www.imdb.com/title/tt0044298/?ref_=nm_flmg_slf_3
The Tonight Show Starring Jimmy Fallon,['self'],7.1/10,2014–,1h,TV Series,15,"['Comedy', 'Music']",https://www.imdb.com/title/tt3444938/?ref_=nm_flmg_slf_4
Madame X Presents: Madame Xtra Q&A,['self'],7.7/10,2021,,TV Special,,[],https://www.imdb.com/title/tt15939340/?ref_=nm_flmg_slf_5
Hollywood Insider,['self'],8.1/10,2018–,,TV Series,,[],https://www.imdb.com/title/tt8638066/?ref_=nm_flmg_slf_6
"Banned, Exploited & Blacklisted: The Underground Work of Controversial Filmmaker Shane Ryan",['self'],6.3/10,2020,,Movie,,"['Action', 'Comedy', 'Crime']",https://www.imdb.com/title/tt5274150/?ref_=nm_flmg_slf_7
Voice Arts® Awards,['self'],9.0/10,2019,3h 20m,TV Special,,[],https://www.imdb.com/title/tt11373858/?ref_=nm_flmg_slf_8
Life is Short with Justin Long,['self'],7.9/10,2019–,,Podcast Series,,[],https://www.imdb.com/title/tt15445736/?ref_=nm_flmg_slf_9
Complex x Fuse,['self'],5.0/10,2017–2019,,TV Series,,"['News', 'Reality-TV']",https://www.imdb.com/title/tt8607794/?ref_=nm_flmg_slf_10
Front Row Flynn,['self'],,2018–,,TV Series,,[],https://www.imdb.com/title/tt10525658/?ref_=nm_flmg_slf_11
CBS News Sunday Morning,['self'],7.7/10,1979–,1h 30m,TV Series,TV-PG,"['News', 'Talk-Show']",https://www.imdb.com/title/tt0165001/?ref_=nm_flmg_slf_13
Entertainment Tonight Canada,['self'],3.5/10,2005–,30m,TV Series,,"['Biography', 'Family']",https://www.imdb.com/title/tt0482346/?ref_=nm_flmg_slf_14
Good Morning America,['self'],4.4/10,1975–,2h,TV Series,TV-G,['News'],https://www.imdb.com/title/tt0072506/?ref_=nm_flmg_slf_15
