Title,Category,Rating,Year,Length,Type,Age,Genre
Jackie Brown,"['writer', 'actor', 'director', 'additional crew']",7.5/10,1997,2h 34m,Movie,11,"['Crime', 'Drama', 'Thriller']"
Bloody Mess,"['writer', 'actor', 'producer']",5.9/10,1996,1h 28m,Movie,R,"['Comedy', 'Crime', 'Thriller']"
From Dusk Till Dawn,"['writer', 'actor', 'producer']",7.2/10,1996,1h 48m,Movie,15,"['Action', 'Crime', 'Horror']"
Dance Me to the End of Love,"['writer', 'actor']",5.3/10,1995,6m,Movie,,"['Short', 'Drama', 'Music']"
Four Rooms,"['writer', 'actor', 'producer', 'director']",6.7/10,1995,1h 38m,Movie,11,['Comedy']
Natural Born Killers,['writer'],7.2/10,1994,1h 59m,Movie,15,"['Action', 'Crime', 'Drama']"
Pulp Fiction,"['writer', 'actor', 'director']",8.9/10,1994,2h 34m,Movie,15,"['Crime', 'Drama']"
True Romance,['writer'],7.9/10,1993,1h 59m,Movie,15,"['Crime', 'Drama', 'Romance']"
Reservoir Dogs: Deleted Scenes,"['writer', 'director']",8.3/10,1992,13m,Video,,"['Short', 'Crime']"
De hänsynslösa,"['writer', 'actor', 'director']",8.3/10,1992,1h 39m,Movie,15,"['Crime', 'Thriller']"
Reservoir Dogs: Sundance Institute 1991 June Film Lab,"['writer', 'actor', 'director', 'cinematographer', 'editor']",6.5/10,1991,12m,Video,R,"['Short', 'Drama']"
My Best Friend's Birthday,"['writer', 'actor', 'producer', 'director', 'editor']",5.6/10,1987,1h 9m,Movie,Not Rated,['Comedy']
Love Birds in Bondage,"['writer', 'actor', 'director']",,1983,,Movie,,"['Short', 'Comedy', 'Drama']"
Super Pumped: The Battle for Uber,['actor'],7.3/10,2022–,1h,TV Series,TV-MA,"['Biography', 'Drama']"
She's Funny That Way,['actor'],6.1/10,2014,1h 33m,Movie,7,"['Comedy', 'Drama']"
Diary of the Dead,"['actor', 'thanks']",5.6/10,2007,1h 35m,Movie,R,"['Fantasy', 'Horror', 'Sci-Fi']"
Sukiyaki uesutan Jango,['actor'],6.1/10,2007,2h 1m,Movie,R,"['Action', 'Western']"
Planet Terror,"['actor', 'producer']",7.1/10,2007,1h 45m,Movie,15,"['Action', 'Comedy', 'Horror']"
Duck Dodgers,['actor'],7.8/10,2003–2005,30m,TV Series,TV-Y7,"['Animation', 'Short', 'Action']"
Mupparna och trollkarlen från Oz,['actor'],5.1/10,2005,2h,TV Movie,TV-PG,"['Adventure', 'Comedy', 'Family']"
Alias,['actor'],7.6/10,2001–2006,42m,TV Series,15,"['Action', 'Drama', 'Mystery']"
Little Nicky,['actor'],5.3/10,2000,1h 30m,Movie,11,"['Comedy', 'Fantasy']"
"God Said, 'Ha!'","['actor', 'producer']",7.2/10,1998,1h 25m,Movie,PG-13,"['Comedy', 'Drama']"
Steven Spielberg's Director's Chair,['actor'],5.9/10,1996,,Video Game,,['Family']
Girl 6,['actor'],5.3/10,1996,1h 48m,Movie,15,"['Comedy', 'Drama']"
Saturday Night Live,"['actor', 'soundtrack']",8.0/10,1975–,1h 30m,TV Series,TV-14,"['Comedy', 'Music']"
Desperado,['actor'],7.1/10,(Banned),1h 44m,Movie,,"['Action', 'Crime', 'Thriller']"
Destiny Turns on the Radio,['actor'],4.5/10,1995,1h 42m,Movie,R,"['Crime', 'Comedy', 'Fantasy']"
All-American Girl,['actor'],6.8/10,1994–1995,30m,TV Series,,['Comedy']
Somebody to Love,['actor'],5.5/10,1994,1h 42m,Movie,R,"['Comedy', 'Drama']"
Sleep with Me,['actor'],5.7/10,1994,1h 26m,Movie,11,"['Comedy', 'Drama', 'Romance']"
The Coriolis Effect,['actor'],6.0/10,1994,33m,Movie,Not Rated,['Short']
Eddie Presley,['actor'],5.5/10,1992,1h 46m,Movie,Unrated,"['Comedy', 'Drama']"
Vegetables,['actor'],5.7/10,1989,1h 30m,Video,,['Horror']
Pantertanter,"['actor', 'archive footage']",8.1/10,1985–1992,30m,TV Series,Btl,"['Comedy', 'Drama']"
#15SecondScare,['producer'],5.1/10,2015–2016,1m,TV Series,,"['Short', 'Horror', 'Thriller']"
Hell Ride,"['producer', 'additional crew']",5.0/10,2008,1h 24m,Movie,15,"['Action', 'Drama', 'Thriller']"
Hostel: Part II,"['producer', 'additional crew']",5.5/10,2007,1h 34m,Movie,15,['Horror']
Freedom's Fury,['producer'],7.6/10,2006,1h 30m,Movie,,"['Documentary', 'Sport']"
Daltry Calhoun,['producer'],5.1/10,2005,1h 40m,Movie,PG-13,"['Comedy', 'Drama', 'Music']"
Hostel,"['producer', 'additional crew']",5.9/10,2005,1h 34m,Movie,15,['Horror']
My Name Is Modesty: A Modesty Blaise Adventure,"['producer', 'additional crew']",4.5/10,2004,1h 18m,Movie,R,"['Action', 'Crime', 'Drama']"
From Dusk Till Dawn 3: The Hangman's Daughter,"['producer', 'additional crew']",4.8/10,1999,1h 34m,Video,15,"['Horror', 'Thriller', 'Western']"
From Dusk Till Dawn 2: Texas Blood Money,['producer'],4.1/10,1999,1h 28m,Video,15,"['Crime', 'Horror', 'Thriller']"
Killing Zoe,['producer'],6.4/10,1993,1h 36m,Movie,R,"['Crime', 'Thriller']"
Siu nin Wong Fei Hung chi: Tit ma lau,['producer'],7.5/10,1993,1h 30m,Movie,PG-13,"['Action', 'Crime', 'Drama']"
Efter midnatt,"['producer', 'additional crew']",5.6/10,1991,1h 40m,Movie,R,"['Drama', 'Mystery', 'Romance']"
Sin City,['director'],8.0/10,2005,2h 4m,Movie,15,"['Crime', 'Thriller']"
Jimmy Kimmel Live!,"['director', 'self']",6.5/10,2003–,1h,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']"
Cityakuten,['director'],7.8/10,1994–2009,44m,TV Series,15,"['Drama', 'Romance']"
The Man with the Iron Fists,['additional crew'],5.4/10,2012,1h 35m,Movie,15,['Action']
The Protector,['additional crew'],7.0/10,2005,1h 51m,Movie,R,"['Action', 'Crime', 'Drama']"
Hero,['additional crew'],7.9/10,2002,2h,Movie,11,"['Action', 'Adventure', 'Drama']"
The Rock,['additional crew'],7.4/10,1996,2h 16m,Movie,15,"['Action', 'Adventure', 'Thriller']"
Rött hav,['additional crew'],7.3/10,1995,1h 56m,Movie,15,"['Action', 'Drama', 'Thriller']"
It's Pat: The Movie,['additional crew'],2.7/10,1994,1h 17m,Movie,PG-13,['Comedy']
Maximum Potential,['additional crew'],6.7/10,1987,52m,Video,,['Sport']
Coleman,['thanks'],,,,Movie,,['Action']
Tender Killer,['thanks'],,,,Movie,,"['Short', 'Thriller']"
Detective Inspector,['thanks'],,2022,1h 15m,Movie,,"['Action', 'Comedy', 'Crime']"
Gol'90,['thanks'],,2022,12m,Movie,,"['Short', 'Drama']"
