Title,Category,Rating,Year,Length,Type,Age,Genre,URL
The River,['producer'],6.8/10,2012,44m,TV Series,TV-14,"['Action', 'Adventure', 'Drama']",https://www.imdb.com/title/tt1836195/?ref_=nm_flmg_prd_54
Terra Nova,['producer'],6.7/10,2011,46m,TV Series,12,"['Adventure', 'Drama', 'Mystery']",https://www.imdb.com/title/tt1641349/?ref_=nm_flmg_prd_55
War Horse,"['producer', 'director']",7.2/10,2011,2h 26m,Movie,11,"['Action', 'Adventure', 'Drama']",https://www.imdb.com/title/tt1568911/?ref_=nm_flmg_prd_56
Transformers: The Ride - 3D,['producer'],7.8/10,2011,11m,Video,,"['Short', 'Action']",https://www.imdb.com/title/tt1843316/?ref_=nm_flmg_prd_57
Tintins äventyr: Enhörningens hemlighet,"['producer', 'director', 'camera and electrical department']",7.3/10,2011,1h 47m,Movie,11,"['Animation', 'Action', 'Adventure']",https://www.imdb.com/title/tt0983193/?ref_=nm_flmg_prd_58
Real Steel,['producer'],7.0/10,2011,2h 7m,Movie,11,"['Action', 'Drama', 'Sci-Fi']",https://www.imdb.com/title/tt0433035/?ref_=nm_flmg_prd_59
Rising: Rebuilding Ground Zero,['producer'],8.4/10,2011–,,TV Series,,['Documentary'],https://www.imdb.com/title/tt1586155/?ref_=nm_flmg_prd_60
Cowboys & Aliens,['producer'],6.0/10,2011,1h 59m,Movie,15,"['Action', 'Sci-Fi', 'Thriller']",https://www.imdb.com/title/tt0409847/?ref_=nm_flmg_prd_61
Locke & Key,['producer'],7.2/10,2011,48m,TV Movie,,"['Adventure', 'Drama', 'Horror']",https://www.imdb.com/title/tt1193126/?ref_=nm_flmg_prd_62
Transformers 3,['producer'],6.2/10,2011,2h 34m,Movie,11,"['Action', 'Adventure', 'Sci-Fi']",https://www.imdb.com/title/tt1399103/?ref_=nm_flmg_prd_63
United States of Tara,['producer'],8.0/10,2009–2011,30m,TV Series,TV-MA,"['Comedy', 'Drama']",https://www.imdb.com/title/tt1001482/?ref_=nm_flmg_prd_64
Super 8,['producer'],7.0/10,2011,1h 52m,Movie,11,"['Action', 'Mystery']",https://www.imdb.com/title/tt1650062/?ref_=nm_flmg_prd_65
True Grit,['producer'],7.6/10,2010,1h 50m,Movie,15,['Drama'],https://www.imdb.com/title/tt1403865/?ref_=nm_flmg_prd_66
Livet efter detta,['producer'],6.5/10,2010,2h 9m,Movie,11,"['Drama', 'Fantasy', 'Romance']",https://www.imdb.com/title/tt1212419/?ref_=nm_flmg_prd_67
The Pacific,['producer'],8.3/10,2010,8h 50m,TV Mini Series,15,"['Action', 'Adventure']",https://www.imdb.com/title/tt0374463/?ref_=nm_flmg_prd_68
Flickan från ovan,['producer'],6.6/10,2009,2h 15m,Movie,15,"['Drama', 'Fantasy', 'Thriller']",https://www.imdb.com/title/tt0380510/?ref_=nm_flmg_prd_69
Transformers: De besegrades hämnd,['producer'],5.9/10,2009,2h 29m,Movie,11,"['Action', 'Adventure']",https://www.imdb.com/title/tt1055369/?ref_=nm_flmg_prd_70
Eagle Eye,['producer'],6.6/10,2008,1h 58m,Movie,11,"['Action', 'Mystery', 'Thriller']",https://www.imdb.com/title/tt1059786/?ref_=nm_flmg_prd_71
Dance with the Devil,['producer'],4.5/10,2007,2m,Movie,,['Short'],https://www.imdb.com/title/tt1972633/?ref_=nm_flmg_prd_72
On the Lot,"['producer', 'self']",6.2/10,2007,,TV Series,,"['Game-Show', 'Reality-TV']",https://www.imdb.com/title/tt0790557/?ref_=nm_flmg_prd_73
Transformers,['producer'],7.0/10,2007,2h 24m,Movie,11,"['Action', 'Adventure', 'Sci-Fi']",https://www.imdb.com/title/tt0418279/?ref_=nm_flmg_prd_74
The Big Bad Heist,['producer'],5.8/10,2007,,Movie,,"['Short', 'Action']",https://www.imdb.com/title/tt1972780/?ref_=nm_flmg_prd_75
Letters from Iwo Jima,['producer'],7.9/10,2006,2h 21m,Movie,15,"['Action', 'Adventure', 'Drama']",https://www.imdb.com/title/tt0498380/?ref_=nm_flmg_prd_76
Flags of Our Fathers,['producer'],7.1/10,2006,2h 15m,Movie,15,"['Action', 'Adventure', 'Drama']",https://www.imdb.com/title/tt0418689/?ref_=nm_flmg_prd_77
Spell Your Name,['producer'],6.4/10,2006,1h 29m,Movie,PG,[],https://www.imdb.com/title/tt0443684/?ref_=nm_flmg_prd_78
Monster House,['producer'],6.6/10,2006,1h 31m,Movie,11,"['Animation', 'Comedy']",https://www.imdb.com/title/tt0385880/?ref_=nm_flmg_prd_79
München,"['producer', 'director']",7.5/10,2005,2h 44m,Movie,15,"['Action', 'Drama', 'History']",https://www.imdb.com/title/tt0408306/?ref_=nm_flmg_prd_80
En geishas memoarer,['producer'],7.3/10,2005,2h 25m,Movie,7,"['Drama', 'Romance']",https://www.imdb.com/title/tt0397535/?ref_=nm_flmg_prd_81
Legenden om Zorro,['producer'],5.9/10,2005,2h 9m,Movie,11,"['Action', 'Adventure']",https://www.imdb.com/title/tt0386140/?ref_=nm_flmg_prd_82
Into the West,['producer'],8.0/10,2005,9h 12m,TV Mini Series,TV-14,"['Adventure', 'Drama', 'Romance']",https://www.imdb.com/title/tt0409572/?ref_=nm_flmg_prd_83
Dan Finnerty & the Dan Band: I Am Woman,['producer'],6.6/10,2005,44m,TV Special,,['Comedy'],https://www.imdb.com/title/tt0468466/?ref_=nm_flmg_prd_84
The Terminal,"['producer', 'director']",7.4/10,2004,2h 8m,Movie,7,"['Comedy', 'Drama', 'Romance']",https://www.imdb.com/title/tt0362227/?ref_=nm_flmg_prd_85
Voices from the List,"['producer', 'self']",7.6/10,2004,1h 17m,Video,,"['Documentary', 'History']",https://www.imdb.com/title/tt0405455/?ref_=nm_flmg_prd_86
Burma Bridge Busters,['producer'],4.5/10,2003,46m,TV Movie,,[],https://www.imdb.com/title/tt0397357/?ref_=nm_flmg_prd_87
Catch Me If You Can,"['producer', 'director']",8.1/10,2002,2h 21m,Movie,7,"['Biography', 'Crime', 'Drama']",https://www.imdb.com/title/tt0264464/?ref_=nm_flmg_prd_88
Taken,['producer'],7.8/10,2002,14h 37m,TV Mini Series,TV-PG,"['Drama', 'Mystery', 'Sci-Fi']",https://www.imdb.com/title/tt0289830/?ref_=nm_flmg_prd_89
Men in Black II,['producer'],6.1/10,2002,1h 28m,Movie,11,"['Action', 'Adventure']",https://www.imdb.com/title/tt0120912/?ref_=nm_flmg_prd_90
Price for Peace,['producer'],7.4/10,2002,1h 30m,Movie,Not Rated,"['Documentary', 'History']",https://www.imdb.com/title/tt0298506/?ref_=nm_flmg_prd_91
Broken Silence,['producer'],7.5/10,2002–,5h,TV Mini Series,,['Documentary'],https://www.imdb.com/title/tt0315652/?ref_=nm_flmg_prd_92
We Stand Alone Together,['producer'],8.6/10,2001,1h 18m,TV Movie,TV-PG,[],https://www.imdb.com/title/tt0302022/?ref_=nm_flmg_prd_93
Band of Brothers,['producer'],9.4/10,2001,9h 54m,TV Mini Series,15,"['Drama', 'History', 'War']",https://www.imdb.com/title/tt0185906/?ref_=nm_flmg_prd_94
Jurassic Park III,['producer'],5.9/10,2001,1h 32m,Movie,11,"['Action', 'Adventure', 'Sci-Fi']",https://www.imdb.com/title/tt0163025/?ref_=nm_flmg_prd_95
A.I. Artificiell intelligens,"['producer', 'writer', 'director']",7.2/10,2001,2h 26m,Movie,11,"['Drama', 'Sci-Fi']",https://www.imdb.com/title/tt0212720/?ref_=nm_flmg_prd_96
Shrek,['producer'],7.9/10,2001,1h 30m,Movie,7,"['Animation', 'Adventure']",https://www.imdb.com/title/tt0126029/?ref_=nm_flmg_prd_97
Semper Fi,['producer'],5.2/10,2001,42m,TV Movie,,"['Action', 'Drama']",https://www.imdb.com/title/tt0233105/?ref_=nm_flmg_prd_98
Shooting War - Krigsfotograferna,"['producer', 'editor']",7.9/10,2000,1h 28m,TV Movie,,['Documentary'],https://www.imdb.com/title/tt0250730/?ref_=nm_flmg_prd_99
A Holocaust szemei,['producer'],5.5/10,2000,56m,Movie,,['Documentary'],https://www.imdb.com/title/tt0262468/?ref_=nm_flmg_prd_100
The Haunting,"['producer', 'second unit director or assistant director']",5.0/10,1999,1h 53m,Movie,15,"['Fantasy', 'Horror', 'Mystery']",https://www.imdb.com/title/tt0171363/?ref_=nm_flmg_prd_101
Animaniacs: Wakko's Wish,['producer'],7.1/10,1999,1h 20m,Video,Unrated,"['Animation', 'Adventure']",https://www.imdb.com/title/tt0164226/?ref_=nm_flmg_prd_102
"Pinky, Elmyra & the Brain",['producer'],5.8/10,TV-Y7-FV,30m,TV Series,,"['Animation', 'Short', 'Adventure']",https://www.imdb.com/title/tt0170996/?ref_=nm_flmg_prd_103
Pinky och Hjärnan,"['producer', 'additional crew']",7.8/10,1995–1998,30m,TV Series,TV-Y,"['Animation', 'Short', 'Adventure']",https://www.imdb.com/title/tt0112123/?ref_=nm_flmg_prd_104
De sista dagarna,['producer'],7.9/10,1998,1h 27m,Movie,11,"['Documentary', 'War']",https://www.imdb.com/title/tt0174852/?ref_=nm_flmg_prd_105
Rädda menige Ryan,"['producer', 'director']",8.6/10,1998,2h 49m,Movie,15,"['Drama', 'War']",https://www.imdb.com/title/tt0120815/?ref_=nm_flmg_prd_106
Små soldater,['producer'],6.2/10,1998,1h 48m,Movie,11,"['Action', 'Adventure', 'Comedy']",https://www.imdb.com/title/tt0122718/?ref_=nm_flmg_prd_107
Zorro - Den maskerade hämnaren,['producer'],6.8/10,1998,2h 16m,Movie,11,"['Action', 'Adventure', 'Comedy']",https://www.imdb.com/title/tt0120746/?ref_=nm_flmg_prd_108
Invasion America,['producer'],7.5/10,1998,30m,TV Series,TV-PG,"['Animation', 'Short', 'Action']",https://www.imdb.com/title/tt0161718/?ref_=nm_flmg_prd_109
Deep Impact,['producer'],6.2/10,1998,2h,Movie,11,"['Action', 'Drama', 'Sci-Fi']",https://www.imdb.com/title/tt0120647/?ref_=nm_flmg_prd_111
Toonsylvania,['producer'],6.8/10,1998–2000,30m,TV Series,TV-Y,"['Animation', 'Comedy', 'Family']",https://www.imdb.com/title/tt0143068/?ref_=nm_flmg_prd_112
The Lost Children of Berlin,['producer'],6.3/10,1997,50m,Movie,,"['Documentary', 'History', 'War']",https://www.imdb.com/title/tt0277806/?ref_=nm_flmg_prd_113
