Title,Category,Rating,Year,Length,Type,Age,Genre,URL
Marvel's 616,['director'],6.4/10,2020–,55m,TV Series,TV-14,[],https://www.imdb.com/title/tt10162586/?ref_=nm_flmg_dr_1
The Gong Show,"['additional crew', 'self']",6.9/10,2017–2018,1h,TV Series,,['Game-Show'],https://www.imdb.com/title/tt6128376/?ref_=nm_flmg_msc_1
Today,['self'],4.5/10,1952–,4h,TV Series,TV-G,['News'],https://www.imdb.com/title/tt0044298/?ref_=nm_flmg_slf_1
The Late Late Show with James Corden,['self'],5.8/10,2015–2022,1h,TV Series,TV-14,"['Comedy', 'Talk-Show']",https://www.imdb.com/title/tt4280606/?ref_=nm_flmg_slf_2
Entertainment Tonight,"['self', 'archive footage']",3.5/10,1981–,30m,TV Series,,['News'],https://www.imdb.com/title/tt0081857/?ref_=nm_flmg_slf_3
Jimmy Kimmel Live!,['self'],6.5/10,2003–,1h,TV Series,TV-14,"['Comedy', 'Music']",https://www.imdb.com/title/tt0320037/?ref_=nm_flmg_slf_4
The 2022 ESPY Awards,['self'],6.2/10,2022,,TV Special,,[],https://www.imdb.com/title/tt20216944/?ref_=nm_flmg_slf_5
The Drew Barrymore Show,['self'],5.4/10,2020–,1h,TV Series,TV-G,['Talk-Show'],https://www.imdb.com/title/tt10827252/?ref_=nm_flmg_slf_6
The Tonight Show Starring Jimmy Fallon,['self'],7.1/10,2014–,1h,TV Series,15,"['Comedy', 'Music']",https://www.imdb.com/title/tt3444938/?ref_=nm_flmg_slf_7
I Can See Your Voice,['self'],5.6/10,2020–,44m,TV Series,TV-PG,"['Game-Show', 'Music']",https://www.imdb.com/title/tt11710130/?ref_=nm_flmg_slf_8
Life is Short with Justin Long,['self'],7.9/10,2019–,,Podcast Series,,['Comedy'],https://www.imdb.com/title/tt15445736/?ref_=nm_flmg_slf_9
Ellen: The Ellen DeGeneres Show,['self'],6.7/10,2003–2022,1h,TV Series,TV-G,['Comedy'],https://www.imdb.com/title/tt0379623/?ref_=nm_flmg_slf_10
Collider Ladies Night,['self'],8.1/10,2019–,,TV Series,,[],https://www.imdb.com/title/tt14215588/?ref_=nm_flmg_slf_11
Dish Nation,['self'],3.7/10,2011–,30m,TV Series,TV-PG,[],https://www.imdb.com/title/tt1973047/?ref_=nm_flmg_slf_12
The E! People's Choice Awards,['self'],6.2/10,2020,,TV Special,,[],https://www.imdb.com/title/tt12238924/?ref_=nm_flmg_slf_13
The Kelly Clarkson Show,"['self', 'archive footage']",5.9/10,2019–,1h,TV Series,TV-G,"['Music', 'Musical', 'Talk-Show']",https://www.imdb.com/title/tt9022950/?ref_=nm_flmg_slf_14
The Darkest Timeline with Ken Jeong & Joel McHale,['self'],8.9/10,2020–,,Podcast Series,,"['Comedy', 'Talk-Show']",https://www.imdb.com/title/tt12877880/?ref_=nm_flmg_slf_15
Armchair Expert with Dax Shepard,['self'],8.7/10,2018–,,Podcast Series,,[],https://www.imdb.com/title/tt11857594/?ref_=nm_flmg_slf_16
The View,['self'],2.5/10,1997–,1h,TV Series,TV-14,[],https://www.imdb.com/title/tt0123366/?ref_=nm_flmg_slf_17
The IMDb Studio at Sundance,['self'],5.5/10,2015–,4h 50m,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt5339266/?ref_=nm_flmg_slf_18
The 26th Annual Screen Actors Guild Awards,['self'],6.9/10,2020,,TV Special,TV-14,[],https://www.imdb.com/title/tt10751088/?ref_=nm_flmg_slf_19
