Title,Category,Rating,Year,Length,Type,Age,Genre
Kill Bill: The Whole Bloody Affair,['composer'],8.8/10,2011,4h 7m,Movie,Not Rated,"['Action', 'Crime', 'Thriller']"
Kill Bill: Vol. 2,"['composer', 'thanks']",8.0/10,2004,2h 17m,Movie,15,"['Action', 'Crime', 'Thriller']"
The Anti-Hero's Journey,"['composer', 'thanks', 'self']",5.9/10,2004,18m,Video,,"['Documentary', 'Short']"
"The Good, the Bad & the Bloody: Inside KNB EFX","['composer', 'thanks', 'self']",6.5/10,2004,19m,Video,,"['Documentary', 'Short', 'Adventure']"
Scream 2,['second unit director or assistant director'],6.3/10,1997,2h,Movie,15,"['Horror', 'Mystery']"
Mimic,['second unit director or assistant director'],6.0/10,1997,1h 45m,Movie,15,"['Horror', 'Sci-Fi']"
Pulp Fiction,['second unit director or assistant director'],8.9/10,1994,2h 34m,Movie,15,"['Crime', 'Drama']"
"Tick, Tick... Boom!",['thanks'],7.5/10,2021,2h,Movie,13,"['Biography', 'Drama', 'Musical']"
Honey and Wine,['thanks'],5.2/10,2020,1h 30m,Movie,,"['Comedy', 'Drama']"
21 Years: Quentin Tarantino,['thanks'],7.3/10,2019,1h 43m,Movie,TV-MA,['Documentary']
Creepshow,['thanks'],7.0/10,2019–,44m,TV Series,TV-MA,"['Fantasy', 'Horror', 'Mystery']"
Behind the Skin: Black Ruby,['thanks'],6.6/10,2019,,Movie,,"['Documentary', 'Short']"
E-penser,"['thanks', 'self']",8.2/10,2013–,,TV Series,,['Documentary']
On the Run,['thanks'],4.5/10,2018,50m,TV Movie,,"['Drama', 'Sci-Fi']"
The Children,['thanks'],,2018,,Movie,,"['Short', 'Horror']"
Phaedra,['thanks'],4.6/10,2018,1h 36m,Movie,,"['Drama', 'Horror', 'Thriller']"
The Next Kill,['thanks'],6.1/10,2018,1h 21m,Movie,,['Action']
Monday,['thanks'],5.3/10,2018,57m,Movie,,['Comedy']
The Good Exorcist,['thanks'],5.1/10,2018,1h 26m,Movie,TV-PG,['Comedy']
Satan's Girls,['thanks'],7.5/10,2017,35m,TV Movie,,"['Comedy', 'Horror']"
Black Ruby,['thanks'],7.3/10,2017,1h 31m,Movie,Not Rated,['Drama']
Baby Driver,['thanks'],7.6/10,2017,1h 53m,Movie,15,"['Action', 'Crime', 'Drama']"
Paranormal Shades,['thanks'],6.3/10,2016,1h 15m,Movie,,"['Comedy', 'Horror', 'Mystery']"
Pendechos!,['thanks'],7.1/10,2016,1h 15m,Movie,,['Action']
Urge,['thanks'],4.4/10,2016,1h 29m,Movie,15,['Thriller']
