Title,Category,Rating,Year,Length,Type,Age,Genre,URL
The League,"['actor', 'writer']",8.3/10,2009–2015,22m,TV Series,TV-MA,['Comedy'],https://www.imdb.com/title/tt1480684/?ref_=nm_flmg_act_46
Last Week Tonight with John Oliver,['actor'],8.9/10,2014–,30m,TV Series,TV-MA,"['Comedy', 'History', 'News']",https://www.imdb.com/title/tt3530232/?ref_=nm_flmg_act_47
Steve Jobs,['actor'],7.2/10,2015,2h 2m,Movie,R,"['Biography', 'Drama']",https://www.imdb.com/title/tt2080374/?ref_=nm_flmg_act_48
Kroll Show,['actor'],6.9/10,2013–2015,30m,TV Series,TV-14,['Comedy'],https://www.imdb.com/title/tt1981538/?ref_=nm_flmg_act_49
Broad City,['actor'],8.4/10,2014–2019,22m,TV Series,TV-14,[],https://www.imdb.com/title/tt2578560/?ref_=nm_flmg_act_50
Saturday Night Live,"['actor', 'soundtrack', 'self']",8.0/10,1975–,1h 30m,TV Series,TV-14,"['Comedy', 'Music']",https://www.imdb.com/title/tt0072562/?ref_=nm_flmg_act_52
The Comeback,['actor'],8.0/10,2005–2014,30m,TV Series,TV-MA,['Comedy'],https://www.imdb.com/title/tt0434672/?ref_=nm_flmg_act_53
Seth Rogen's Jewish-Canadian-American Thanksgiving,"['actor', 'writer']",2.0/10,2014,,Movie,,"['Short', 'Comedy']",https://www.imdb.com/title/tt6068342/?ref_=nm_flmg_act_54
"Cops, Cum, Dicks, and Flying",['actor'],4.1/10,2014,8m,Movie,Not Rated,"['Short', 'Comedy']",https://www.imdb.com/title/tt4209824/?ref_=nm_flmg_act_55
Rubberhead,['actor'],3.9/10,2014,47m,TV Movie,,[],https://www.imdb.com/title/tt4215666/?ref_=nm_flmg_act_56
The Sound and the Fury,['actor'],4.9/10,2014,1h 41m,Movie,TV-MA,[],https://www.imdb.com/title/tt3026144/?ref_=nm_flmg_act_57
Dave Skylark's Very Special VMA Special,['actor'],7.7/10,2014,20m,TV Short,,['Short'],https://www.imdb.com/title/tt4057490/?ref_=nm_flmg_act_58
22 Jump Street,['actor'],7.0/10,2014,1h 52m,Movie,R,"['Action', 'Comedy']",https://www.imdb.com/title/tt2294449/?ref_=nm_flmg_act_59
Jimmy Kimmel Live!,"['actor', 'self', 'archive footage']",6.5/10,2003–,1h,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']",https://www.imdb.com/title/tt0320037/?ref_=nm_flmg_act_61
The Simpsons,"['actor', 'writer']",8.7/10,1989–,22m,TV Series,TV-14,"['Animation', 'Comedy']",https://www.imdb.com/title/tt0096697/?ref_=nm_flmg_act_62
