Title,Category,Rating,Year,Length,Type,Age,Genre,URL
2011 MTV Movie Awards,['self'],5.2/10,2011,,TV Special,,['News'],https://www.imdb.com/title/tt1924211/?ref_=nm_flmg_slf_38
Breakfast,['self'],5.2/10,2000–,3h,TV Series,,"['Family', 'News']",https://www.imdb.com/title/tt0262152/?ref_=nm_flmg_slf_39
Lopez Tonight,['self'],3.7/10,2009–2011,1h,TV Series,,"['Comedy', 'Talk-Show']",https://www.imdb.com/title/tt1489432/?ref_=nm_flmg_slf_40
Late Show with David Letterman,['self'],6.9/10,1993–2015,1h,TV Series,TV-PG,"['Comedy', 'Music', 'Talk-Show']",https://www.imdb.com/title/tt0106053/?ref_=nm_flmg_slf_41
The Movie Loft,['self'],6.7/10,2001–,,TV Series,,"['Comedy', 'News', 'Talk-Show']",https://www.imdb.com/title/tt1297644/?ref_=nm_flmg_slf_42
This Is Not a Routine Expedition: Making of 'Land of the Lost',['self'],7.1/10,2009,1h 23m,Video,,[],https://www.imdb.com/title/tt1530547/?ref_=nm_flmg_slf_43
Deep Inside,['self'],3.2/10,2007–,,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt3252890/?ref_=nm_flmg_slf_44
2009 MTV Movie Awards,['self'],5.8/10,2009,,TV Special,TV-14,[],https://www.imdb.com/title/tt1401689/?ref_=nm_flmg_slf_45
HBO First Look,['self'],6.2/10,1992–,13m,TV Series,,['Documentary'],https://www.imdb.com/title/tt0318220/?ref_=nm_flmg_slf_46
The Cast of 'Tropic Thunder',['self'],7.6/10,2008,22m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt5489226/?ref_=nm_flmg_slf_47
Tropic Thunder: Blowing S#%t Up,['self'],6.0/10,2008,6m,Video,,"['Documentary', 'Short', 'Comedy']",https://www.imdb.com/title/tt1854368/?ref_=nm_flmg_slf_48
Tropic Thunder: Designing the Thunder,['self'],7.2/10,2008,8m,Video,,['Documentary'],https://www.imdb.com/title/tt5489220/?ref_=nm_flmg_slf_49
Tropic Thunder: Dispatches from the Edge of Madness,['self'],,2008,23m,Video,,"['Short', 'Comedy']",https://www.imdb.com/title/tt1854369/?ref_=nm_flmg_slf_50
Tropic Thunder: Full Mags,['self'],7.3/10,2008,33m,Video,,['Documentary'],https://www.imdb.com/title/tt5489726/?ref_=nm_flmg_slf_51
Xposé,['self'],2.8/10,2007–2019,30m,TV Series,,"['Music', 'News', 'Talk-Show']",https://www.imdb.com/title/tt1016283/?ref_=nm_flmg_slf_52
Late Night with Conan O'Brien,['self'],8.2/10,1993–2009,1h,TV Series,TV-14,"['Comedy', 'Music']",https://www.imdb.com/title/tt0106052/?ref_=nm_flmg_slf_53
Reel Comedy,['self'],4.6/10,2002–2010,,TV Series,,['Comedy'],https://www.imdb.com/title/tt1628029/?ref_=nm_flmg_slf_54
Comic-Con '08 Live,['self'],3.0/10,2008,3h,TV Special,,[],https://www.imdb.com/title/tt1315580/?ref_=nm_flmg_slf_55
2008 MTV Movie Awards,['self'],5.9/10,2008,,TV Special,,['Music'],https://www.imdb.com/title/tt1230105/?ref_=nm_flmg_slf_56
